Board,Pin,Connects To,Wire From
Sword ESP32-S3 DevKit,3V3 (J1 pin1),HW-123 VCC,Power
Sword ESP32-S3 DevKit,GND (J1 pin2),HW-123 GND,Ground
Sword ESP32-S3 DevKit,GND (J1 pin2),WS2812B GND,Ground
Sword ESP32-S3 DevKit,GPIO8,HW-123 SDA,I2C data
Sword ESP32-S3 DevKit,GPIO9,HW-123 SCL,I2C clock
Sword ESP32-S3 DevKit,GPIO4,WS2812B DIN,LED data
Sword ESP32-S3 DevKit,+5V (J2 pin1),Battery pack + (via 2 holders in series),Board power
Sword ESP32-S3 DevKit,GND (J1 pin2),Battery pack -,Board power ground
WS2812B,5V,"Battery pack + (same 6V line, no diode - test at moderate brightness)",LED power
